Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,kn261,Ethernet50/1,l3leaf,kn255,Ethernet49/1,True
spine,kn261,Ethernet51/1,l3leaf,kn271,Ethernet51/1,True
l3leaf,kn271,Ethernet51/1,spine,kn261,Ethernet51/1,True
spine,ph155,Ethernet3/5/1,l3leaf,gts478,Ethernet51/1,True
spine,ph155,Ethernet3/6/1,l3leaf,gts479,Ethernet51/1,True
spine,ph155,Ethernet3/13/1,l3leaf,gts480,Ethernet51/1,True
spine,ph155,Ethernet3/14/1,l3leaf,gts481,Ethernet51/1,True
spine,ph155,Ethernet3/17/1,l3leaf,hs448,Ethernet51/1,True
spine,ph155,Ethernet3/18/1,l3leaf,hs447,Ethernet51/1,True
spine,ph156,Ethernet3/5/1,l3leaf,gts478,Ethernet52/1,True
spine,ph156,Ethernet3/6/1,l3leaf,gts479,Ethernet52/1,True
spine,ph156,Ethernet3/13/1,l3leaf,gts480,Ethernet52/1,True
spine,ph156,Ethernet3/14/1,l3leaf,gts481,Ethernet52/1,True
spine,ph156,Ethernet3/17/1,l3leaf,hs448,Ethernet52/1,True
spine,ph156,Ethernet3/18/1,l3leaf,hs447,Ethernet52/1,True
spine,tg257,Ethernet3/20/1,l3leaf,hs448,Ethernet49/1,True
spine,tg257,Ethernet3/24/1,l3leaf,gts480,Ethernet49/1,True
spine,tg257,Ethernet3/32/1,l3leaf,gts478,Ethernet49/1,True
spine,tg257,Ethernet4/19/1,l3leaf,hs447,Ethernet49/1,True
spine,tg257,Ethernet4/23/1,l3leaf,gts481,Ethernet49/1,True
spine,tg257,Ethernet4/31/1,l3leaf,gts479,Ethernet49/1,True
spine,tg294,Ethernet3/19/1,l3leaf,hs447,Ethernet50/1,True
spine,tg294,Ethernet3/20/1,l3leaf,hs448,Ethernet50/1,True
spine,tg294,Ethernet3/23/1,l3leaf,gts481,Ethernet50/1,True
spine,tg294,Ethernet3/24/1,l3leaf,gts480,Ethernet50/1,True
spine,tg294,Ethernet3/31/1,l3leaf,gts479,Ethernet50/1,True
spine,tg294,Ethernet3/32/1,l3leaf,gts478,Ethernet50/1,True
